020,f1
98201,1360,f1
98201,1380,f1
98201,1400,f1
98202,1020,f1
98202,1040,f1
98202,1060,f1
98202,1080,f1
98202,1100,f1
98202,1120,f1
98202,1140,f1
98202,1160,f1
98202,1180,f1
98202,1200,f1
98202,1220,f1
98202,1240,f1
98202,1260,f1
98202,1280,f1
98202,1300,f1
98202,1320,f1
98202,1340,f1
98202,1360,f1
98202,1380,f1
98202,1400,f1
98203,1020,f1
98203,1040,f1
98203,1060,f1
98203,1080,f1
98203,1100,f1
98203,1120,f1
98203,1140,f1
98203,1160,f1
98203,1180,f1
98203,1200,f1
98203,1220,f1
98203,1240,f1
98203,1260,f1
98203,1280,f1
98203,1300,f1
98203,1320,f1
98203,1340,f1
98203,1360,f1
98203,1380,f1
98203,1400,f1
98204,1020,f1
98204,1040,f1
98204,1060,f1
98204,1080,f1
98204,1100,f1
98204,1120,f1
98204,1140,f1
98204,1160,f1
98204,1180,f1
98204,1200,f1
98204,1220,f1
98204,1240,f1
98204,1260,f1
98204,1280,f1
98204,1300,f1
98204,1320,f1
98204,1340,f1
98204,1360,f1
98204,1380,f1
98204,1400,f1
98205,1020,f1
98205,1040,f1
98205,1060,f1
98205,1080,f1
98205,1100,f1
98205,1120,f1
98205,1140,f1
98205,1160,f1
98205,1180,f1
98205,1200,f1
98205,1220,f1
98205,1240,f1
98205,1260,f1
98205,1280,f1
98205,1300,f1
98205,1320,f1
98205,1340,f1
98205,1360,f1
98205,1380,f1
98205,1400,f1
98206,1020,f1
98206,1040,f1
98206,1060,f1
98206,1080,f1
98206,1100,f1
98206,1120,f1
98206,1140,f1
98206,1160,f1
98206,1180,f1
98206,1200,f1
98206,1220,f1
98206,1240,f1
98206,1260,f1
98206,1280,f1
98206,1300,f1
98206,1320,f1
98206,1340,f1
98206,1360,f1
98206,1380,f1
98206,1400,f1
98207,1020,f1
98207,1040,f1
98207,1060,f1
98207,1080,f1
98207,1100,f1
98207,1120,f1
98207,1140,f1
98207,1160,f1
98207,1180,f1
98207,1200,f1
98207,1220,f1
98207,1240,f1
98207,1260,f1
98207,1280,f1
98207,1300,f1
98207,1320,f1
98207,1340,f1
98207,1360,f1
98207,1380,f1
98207,1400,f1
98208,1020,f1
98208,1040,f1
98208,1060,f1
98208,1080,f1
98208,1100,f1
98208,1120,f1
98208,1140,f1
98208,1160,f1
98208,1180,f1
98208,1200,f1
98208,1220,f1
98208,1240,f1
98208,1260,f1
98208,1280,f1
98208,1300,f1
98208,1320,f1
98208,1340,f1
98208,1360,f1
98208,1380,f1
98208,1400,f1
98209,1020,f1
98209,1040,f1
98209,1060,f1
98209,1080,f1
98209,1100,f1
98209,1120,f1
98209,1140,f1
98209,1160,f1
98209,1180,f1
98209,1200,f1
98209,1220,f1
98209,1240,f1
98209,1260,f1
98209,1280,f1
98209,1300,f1
98209,1320,f1
98209,1340,f1
98209,1360,f1
98209,1380,f1
98209,1400,f1
98210,1020,f1
98210,1040,f1
98210,1060,f1
98210,1080,f1
98210,1100,f1
98210,1120,f1
98210,1140,f1
98210,1160,f1
98210,1180,f1
98210,1200,f1
98210,1220,f1
98210,1240,f1
98210,1260,f1
98210,1280,f1
98210,1300,f1
98210,1320,f1
98210,1340,f1
98210,1360,f1
98210,1380,f1
98210,1400,f1
98211,1020,f1
98211,1040,f1
98211,1060,f1
98211,1080,f1
98211,1100,f1
98211,1120,f1
98211,1140,f1
98211,1160,f1
98211,1180,f1
98211,1200,f1
98211,1220,f1
98211,1240,f1
98211,1260,f1
98211,1280,f1
98211,1300,f1
98211,1320,f1
98211,1340,f1
98211,1360,f1
98211,1380,f1
98211,1400,f1
98212,1020,f1
98212,1040,f1
98212,1060,f1
98212,1080,f1
98212,1100,f1
98212,1120,f1
98212,1140,f1
98212,1160,f1
98212,1180,f1
98212,1200,f1
98212,1220,f1
98212,1240,f1
98212,1260,f1
98212,1280,f1
98212,1300,f1
98212,1320,f1
98212,1340,f1
98212,1360,f1
98212,1380,f1
98212,1400,f1
98213,1020,f1
98213,1040,f1
98213,1060,f1
98213,1080,f1
98213,1100,f1
98213,1120,f1
98213,1140,f1
98213,1160,f1
98213,1180,f1
98213,1200,f1
98213,1220,f1
98213,1240,f1
98213,1260,f1
98213,1280,f1
98213,1300,f1
98213,1320,f1
98213,1340,f1
98213,1360,f1
98213,1380,f1
98213,1400,f1
98214,1020,f1
98214,1040,f1
98214,1060,f1
98214,1080,f1
98214,1100,f1
98214,1120,f1
98214,1140,f1
98214,1160,f1
98214,1180,f1
98214,1200,f1
98214,1220,f1
98214,1240,f1
98214,1260,f1
98214,1280,f1
98214,1300,f1
98214,1320,f1
98214,1340,f1
98214,1360,f1
98214,1380,f1
98214,1400,f1
98215,1020,f1
98215,1040,f1
98215,1060,f1
98215,1080,f1
98215,1100,f1
98215,1120,f1
98215,1140,f1
98215,1160,f1
98215,1180,f1
98215,1200,f1
98215,1220,f1
98215,1240,f1
98215,1260,f1
98215,1280,f1
98215,1300,f1
98215,1320,f1
98215,1340,f1
98215,1360,f1
98215,1380,f1
98215,1400,f1
98216,1020,f1
98216,1040,f1
98216,1060,f1
98216,1080,f1
98216,1100,f1
98216,1120,f1
98216,1140,f1
98216,1160,f1
98216,1180,f1
98216,1200,f1
98216,1220,f1
98216,1240,f1
98216,1260,f1
98216,1280,f1
98216,1300,f1
98216,1320,f1
98216,1340,f1
98216,1360,f1
98216,1380,f1
98216,1400,f1
98217,1020,f1
98217,1040,f1
98217,1060,f1
98217,1080,f1
98217,1100,f1
98217,1120,f1
98217,1140,f1
98217,1160,f1
98217,1180,f1
98217,1200,f1
98217,1220,f1
98217,1240,f1
98217,1260,f1
98217,1280,f1
98217,1300,f1
98217,1320,f1
98217,1340,f1
98217,1360,f1
98217,1380,f1
98217,1400,f1
98218,1020,f1
98218,1040,f1
98218,1060,f1
98218,1080,f1
98218,1100,f1
98218,1120,f1
98218,1140,f1
98218,1160,f1
98218,1180,f1
98218,1200,f1
98218,1220,f1
98218,1240,f1
98218,1260,f1
98218,1280,f1
98218,1300,f1
98218,1320,f1
98218,1340,f1
98218,1360,f1
98218,1380,f1
98218,1400,f1
98219,1020,f1
98219,1040,f1
98219,1060,f1
98219,1080,f1
98219,1100,f1
98219,1120,f1
98219,1140,f1
98219,1160,f1
98219,1180,f1
98219,1200,f1
98219,1220,f1
98219,1240,f1
98219,1260,f1
98219,1280,f1
98219,1300,f1
98219,1320,f1
98219,1340,f1
98219,1360,f1
98219,1380,f1
98219,1400,f1
98220,1020,f1
98220,1040,f1
98220,1060,f1
98220,1080,f1
98220,1100,f1
98220,1120,f1
98220,1140,f1
98220,1160,f1
98220,1180,f1
98220,1200,f1
98220,1220,f1
98220,1240,f1
98220,1260,f1
98220,1280,f1
98220,1300,f1
98220,1320,f1
98220,1340,f1
98220,1360,f1
98220,1380,f1
98220,1400,f1
98221,1020,f1
98221,1040,f1
98221,1060,f1
98221,1080,f1
98221,1100,f1
98221,1120,f1
98221,1140,f1
98221,1160,f1
98221,1180,f1
98221,1200,f1
98221,1220,f1
98221,1240,f1
98221,1260,f1
98221,1280,f1
98221,1300,f1
98221,1320,f1
98221,1340,f1
98221,1360,f1
98221,1380,f1
98221,1400,f1
98222,1020,f1
98222,1040,f1
98222,1060,f1
98222,1080,f1
98222,1100,f1
98222,1120,f1
98222,1140,f1
98222,1160,f1
98222,1180,f1
98222,1200,f1
98222,1220,f1
98222,1240,f1
98222,1260,f1
98222,1280,f1
98222,1300,f1
98222,1320,f1
98222,1340,f1
98222,1360,f1
98222,1380,f1
98222,1400,f1
98223,1020,f1
98223,1040,f1
98223,1060,f1
98223,1080,f1
98223,1100,f1
98223,1120,f1
98223,1140,f1
98223,1160,f1
98223,1180,f1
98223,1200,f1
98223,1220,f1
98223,1240,f1
98223,1260,f1
98223,1280,f1
98223,1300,f1
98223,1320,f1
98223,1340,f1
98223,1360,f1
98223,1380,f1
98223,1400,f1
98224,1020,f1
98224,1040,f1
98224,1060,f1
98224,1080,f1
98224,1100,f1
98224,1120,f1
98224,1140,f1
98224,1160,f1
98224,1180,f1
98224,1200,f1
98224,1220,f1
98224,1240,f1
98224,1260,f1
98224,1280,f1
98224,1300,f1
98224,1320,f1
98224,1340,f1
98224,1360,f1
98224,1380,f1
98224,1400,f1
98225,1020,f1
98225,1040,f1
98225,1060,f1
98225,1080,f1
98225,1100,f1
98225,1120,f1
98225,1140,f1
98225,1160,f1
98225,1180,f1
98225,1200,f1
98225,1220,f1
98225,1240,f1
98225,1260,f1
98225,1280,f1
98225,1300,f1
98225,1320,f1
98225,1340,f1
98225,1360,f1
98225,1380,f1
98225,1400,f1
98226,1020,f1
98226,1040,f1
98226,1060,f1
98226,1080,f1
98226,1100,f1
98226,1120,f1
98226,1140,f1
98226,1160,f1
98226,1180,f1
98226,1200,f1
98226,1220,f1
98226,1240,f1
98226,1260,f1
98226,1280,f1
98226,1300,f1
98226,1320,f1
98226,1340,f1
98226,1360,f1
98226,1380,f1
98226,1400,f1
98227,1020,f1
98227,1040,f1
98227,1060,f1
98227,1080,f1
98227,1100,f1
98227,1120,f1
98227,1140,f1
98227,1160,f1
98227,1180,f1
98227,1200,f1
98227,1220,f1
98227,1240,f1
98227,1260,f1
98227,1280,f1
98227,1300,f1
98227,1320,f1
98227,1340,f1
98227,1360,f1
98227,1380,f1
98227,1400,f1
98228,1020,f1
98228,1040,f1
98228,1060,f1
98228,1080,f1
98228,1100,f1
98228,1120,f1
98228,1140,f1
98228,1160,f1
98228,1180,f1
98228,1200,f1
98228,1220,f1
98228,1240,f1
98228,1260,f1
98228,1280,f1
98228,1300,f1
98228,1320,f1
98228,1340,f1
98228,1360,f1
98228,1380,f1
98228,1400,f1
98229,1020,f1
98229,1040,f1
98229,1060,f1
98229,1080,f1
98229,1100,f1
98229,1120,f1
98229,1140,f1
98229,1160,f1
98229,1180,f1
98229,1200,f1
98229,1220,f1
98229,1240,f1
98229,1260,f1
98229,1280,f1
98229,1300,f1
98229,1320,f1
98229,1340,f1
98229,1360,f1
98229,1380,f1
98229,1400,f1
98230,1020,f1
98230,1040,f1
98230,1060,f1
98230,1080,f1
98230,1100,f1
98230,1120,f1
98230,1140,f1
98230,1160,f1
98230,1180,f1
98230,1200,f1
98230,1220,f1
98230,1240,f1
98230,1260,f1
98230,1280,f1
98230,1300,f1
98230,1320,f1
98230,1340,f1
98230,1360,f1
98230,1380,f1
98230,1400,f1
98231,1020,f1
98231,1040,f1
98231,1060,f1
98231,1080,f1
98231,1100,f1
98231,1120,f1
98231,1140,f1
98231,1160,f1
98231,1180,f1
98231,1200,f1
98231,1220,f1
98231,1240,f1
98231,1260,f1
98231,1280,f1
98231,1300,f1
98231,1320,f1
98231,1340,f1
98231,1360,f1
98231,1380,f1
98231,1400,f1
98232,1020,f1
98232,1040,f1
98232,1060,f1
98232,1080,f1
98232,1100,f1
98232,1120,f1
98232,1140,f1
98232,1160,f1
98232,1180,f1
98232,1200,f1
98232,1220,f1
98232,1240,f1
98232,1260,f1
98232,1280,f1
98232,1300,f1
98232,1320,f1
98232,1340,f1
98232,1360,f1
98232,1380,f1
98232,1400,f1
98233,1020,f1
98233,1040,f1
98233,1060,f1
98233,1080,f1
98233,1100,f1
98233,1120,f1
98233,1140,f1
98233,1160,f1
98233,1180,f1
98233,1200,f1
98233,1220,f1
98233,1240,f1
98233,1260,f1
98233,1280,f1
98233,1300,f1
98233,1320,f1
98233,1340,f1
98233,1360,f1
98233,1380,f1
98233,1400,f1
98234,1020,f1
98234,1040,f1
98234,1060,f1
98234,1080,f1
98234,1100,f1
98234,1120,f1
98234,1140,f1
98234,1160,f1
98234,1180,f1
98234,1200,f1
98234,1220,f1
98234,1240,f1
98234,1260,f1
98234,1280,f1
98234,1300,f1
98234,1320,f1
98234,1340,f1
98234,1360,f1
98234,1380,f1
98234,1400,f1
98235,1020,f1
98235,1040,f1
98235,1060,f1
98235,1080,f1
98235,1100,f1
98235,1120,f1
98235,1140,f1
98235,1160,f1
98235,1180,f1
98235,1200,f1
98235,1220,f1
98235,1240,f1
98235,1260,f1
98235,1280,f1
98235,1300,f1
98235,1320,f1
98235,1340,f1
98235,1360,f1
98235,1380,f1
98235,1400,f1
98236,1020,f1
98236,1040,f1
98236,1060,f1
98236,1080,f1
98236,1100,f1
98236,1120,f1
98236,1140,f1
98236,1160,f1
98236,1180,f1
98236,1200,f1
98236,1220,f1
98236,1240,f1
98236,1260,f1
98236,1280,f1
98236,1300,f1
98236,1320,f1
98236,1340,f1
98236,1360,f1
98236,1380,f1
98236,1400,f1
98237,1020,f1
98237,1040,f1
98237,1060,f1
98237,1080,f1
98237,1100,f1
98237,1120,f1
98237,1140,f1
98237,1160,f1
98237,1180,f1
98237,1200,f1
98237,1220,f1
98237,1240,f1
98237,1260,f1
98237,1280,f1
98237,1300,f1
98237,1320,f1
98237,1340,f1
98237,1360,f1
98237,1380,f1
98237,1400,f1
98238,1020,f1
98238,1040,f1
98238,1060,f1
98238,1080,f1
98238,1100,f1
98238,1120,f1
98238,1140,f1
98238,1160,f1
98238,1180,f1
98238,1200,f1
98238,1220,f1
98238,1240,f1
98238,1260,f1
98238,1280,f1
98238,1300,f1
98238,1320,f1
98238,1340,f1
98238,1360,f1
98238,1380,f1
98238,1400,f1
98239,1020,f1
98239,1040,f1
98239,1060,f1
98239,1080,f1
98239,1100,f1
98239,1120,f1
98239,1140,f1
98239,1160,f1
98239,1180,f1
98239,1200,f1
98239,1220,f1
98239,1240,f1
98239,1260,f1
98239,1280,f1
98239,1300,f1
